,標題,分類,內文
16,[新聞] 陳柏源唱《反攻大陸》邀國民黨反共 中國網,Gossiping,"陳柏源唱《反攻大陸》邀國民黨反共 中國網友感動

【大紀元2024年12月20日訊】（大紀元記者馬維芬綜合報導）立法院會20日排審選罷法等
3法，民團為阻止藍營闖關通過，約近千人自18日晚間聚集國民黨中央黨部前抗議，其中
網紅八炯和「閩南狼」陳柏源都現身力挺，陳柏源更以新歌《反攻大陸》聲援。

公民團體18日晚間在國民黨中央黨部前發起「冬季青鳥在台北」集會行動，抗議國民黨聯
合民眾黨意圖強推法案，網紅八炯與「閩南狼」陳柏源到場演唱剛推出的《反攻大陸》的
歌。

然而立法院會今（20）日在國民黨與民眾黨的聯合推動下，三讀修正通過選罷法部分條文
，增訂連署加嚴條款。民進黨立委則高喊沒收民權，將聲請釋憲。本次共通過5條文都與
調高罷免連署門檻有關。晚間《憲法訴訟法》也全案三讀通過。

而陳柏源昨晚推出的新歌《反攻大陸》（點這裡）正在網路發酵，MV標題寫著：「敬邀中
國國民黨一起反共復國，把台灣還給台灣人！」

內容交代了中華民國與中共的歷史，以及國民黨退守到台灣的歷程，歌詞提到：「不是國
共內戰是馬列侵華，到底誰才是境外勢力需要驅除韃虜，恢復中華，中華民國從軍政訓政
到憲政，全世界都能見證。大陸同胞的內心早已看清，對中共的怨恨，蘇維埃共產黨的執
政，根本沒有自由言論，打土豪分田地，再把全部收回去的惡棍，大躍進 、大飢荒 、再
到文化大革命，這就是選擇共產黨中國人的命運，推翻清朝打敗日本帝國主義是三民主義
，中華民國勢必拿回馬列子孫奪走的土地。」

歌中反問：「中華民國還沒滅，為何選擇投降，沒看見多少人遭到中共迫害而流亡，多少
因錯誤政策的人無處求償，未知的死亡數字，因為那姓毛的大魔王。我們退守到台灣是為
了什麼？為了反共，為了哪天反攻回去。如今全世界都在幫我們反共了，但是卻有些人卻
選擇放棄。」

歌中更提醒大家別忘了，「真正的敵人是誰？他（中共）還在對岸看著我們還不團結，這
些事情發生不到百年，但是我堅信中華民國一定凱旋。」

歌詞中還寫道：

「沒有國父哪有現在的我們？沒有蔣公現在誰統治我們？沒有國民黨中華遺產誰保存？沒
有民進黨哪來的民主憲政？沒有那些拋頭顱灑熱血的先烈，哪有現在保護中華民國的軍隊
，如果中華民族的同胞再不團結，那我告訴你真正的境外勢力即將侵略。」

「沒有共產黨才有新中國，沒有共產主義才能擺脫奴隸的生活，出的政策惹的禍，從不承
認自己犯過的錯，唯有推翻共產黨才有民主自由，活摘器官的政府，剝削人民視人命為糞
土，上億名受害者數不勝數，看不見真相的只會更苦。拿著我們的中華文化，騙我們回去
認祖，殊不知中華民國才是正主。」

歌曲最後打上：「這首歌獻給堅持反共的所有人，此曲更是誠邀國民黨貫策黨訓，反攻大
陸！共同響應這首歌。」

https://epochtimes.com/assets/uploads/2024/12/id14394909-241208044017100311.jpg
歌手「閩南狼」陳柏源資料照。（宋碧龍／大紀元）

而該曲一出，有不少台灣網友覺得感動，也引發不少中國網友的共鳴，紛紛留言表示：

「我是大陸廣東人，先總統孫公與蔣公是我的偶像，盼望中華民國大陸淪陷區光復的那一
天，盼望青天白日滿地紅旗重新飄揚在神州大陸上，台灣加油」

「聽了眼淚都要掉下來了真的好感動！國父一定以你為傲！希望大家都可以覺醒」

「聽了萬分悲痛，眼角有淚溢出，我是一個已到中年的大陸人，在這片土地，親人都經歷
過種種的不幸，奈何自身醒悟太晚」

「我身在大陸，看到這些很痛心，小時候沒人告訴我，中華民國一直還在，我奶奶生於民
國，至今還在，此生唯一願景，希望有能力的以後一定要清算共產黨」

「不管台派或中華民國派，都應該一起反共」

「真的突破盲點，最該反共的國民黨真是諷刺」

「我是淪陷區廣州人，祖上有過國軍軍人，我從小對中共深惡痛絕我自認中國（華）
民國國民，從小學寫正體字，盡量少寫殘體字。所以，如果你是台派，那我想跟你說，守
護好你們的自由民主，保護好台灣，加油！如果你是民國派，那我們一起守護我們的中華
民國，希望早日解救淪陷區人民」

「馬列侵華有夠可惡，講的好像是自己打得似的，抗日戰爭絕對是國民黨打的！」

「世界上的每個人都要了解中共的真相！支持繼續說出真相！邪不勝正！」

「如果你是中國人，你該知道沒有共產黨才有民主，如果你是台灣人，你該知道沒有共產
黨才有和平，如果你是華人，你該知道共產黨正是中華民族偉大復興的最大絆腳石」。


推薦閱讀：

    揭中共統戰黑幕 台灣歌手陳柏源發不自殺聲明
    曾為對台統戰樣板 饒舌歌手陳柏源盼推翻中共
    八炯再揭中共統戰內幕：不只台灣 含所有華人區

https://www.epochtimes.com/b5/24/12/20/n14394907.htm


"
17,[問卦] 有沒有YT上面烏龍派出所的八卦,Gossiping,"好像這一兩個月
YT上面有很多外國人帳號
開立頻道
上傳烏龍派出所的卡通
集數是隨意挑選
湊足一個兩小時多的影片

YT似乎後來慢慢有在刪
但是刪完後
又會有更多新的帳號
上傳烏龍派出所
感覺有點不太尋常
是否這個是新世代AI手法
有卦嗎

PS
話說
這些外國人帳號
搞不好上PTT
可以呼籲一下幫忙把小纏or檸檬有登場的集數
全部剪成湊成一兩則影片嗎

也幫忙把麗子為主軸的集數
也剪在一起嗎

"
18,[問卦] 遇到這種情況該怎麼回答比較好？,Gossiping,"剛才經過斑馬線，有個走在我斜前方的小妹妹

她手上的氣球沒拿穩往後面飛走

我第一時間想幫她拿，結果氣球飛太快只能眼睜睜看氣球飛走

轉頭看到小妹妹也在盯著我，我跟她說一句

放棄吧，只是個氣球而已

然後我就走了

後來想想這樣講會不會太無情了？


"
19,Re: [新聞] 青鳥少8成! 還沒見底 作家分析:鳥疲人散,Gossiping,"這很好選


高雄有"
20,[問卦] 今年的冬天是不是真的比較像冬天,Gossiping,"之前就有人做梗圖說國外的冬天是慢慢降溫

然後台灣的冬天是 忽高忽低瘋狂反復橫跳

去年確實是這樣，我去年12月還在穿短袖，直到1月才開始比較冷


結果今年是一路冷到底，每天都是媽的發抖

今年冬天是不是比較正常？

"
21,[問卦] 拳上會不會從頭到尾都是演的？,Gossiping,"蹦闆一直說輸了就退出所有自媒體

結果一直埋頭龜縮也能贏

就好像賽前就決定了勝負

會不會拳上其實都是演的？


"
22,[問卦] 為何青鳥不抵制桃園，不去桃機搭機之類？,Gossiping,"現在一面倒都抵制花蓮

但桃園更藍，青鳥應也可以抵制桃園，例如永不去桃機搭機

只去民主聖地高雄搭機

縱然不方便也要去高雄靠轉機到達目的地

怎說不去花蓮？ 花蓮青鳥本就不去了抵制有意義？

"
23,[問卦] 台灣真的沒辦法根治8+9猴子？,Gossiping,"

89低端

有自己的生活同溫層

所以在社會上不會有自覺是異類

而且上面發個香蕉

就可以當作喬事的棋子


日本黑道問題以前也很嚴重

但現在組織化

加上一些社會的框架限制

影響到正常人的程度大幅降低


台灣要遇到89超容易

跟低端互換只是虧

有機會除掉這些猴子嗎

還是只會更慘？因為少子化




"
24,[問卦] 驚！全台有七萬人支持統神？,Gossiping,"統神經過昨天的事件後

發了一篇文，說一切的經過，並要準備提告攻擊的人，底下七萬讚，一萬留言

全台有七萬人支持統神？為何呢？
https://i.imgur.com/uAgE1eZ.jpeg


"
25,[問卦] 現宰黑毛豬生蹄膀兩斤200塊俗爆？,Gossiping,"我鄰居講，他買了兩顆生蹄膀

現宰黑毛豬，一顆兩斤才賣他200塊

他就收兩顆回來要弄滷肉

行口賣不完，可遇不可求



黑毛豬生蹄膀兩斤200塊俗到爆嗎？


"
26,[問卦] 包莖男周末都會休息嗎?,Gossiping,"✈✈✈
☑☑☑
♥♥♥

欸欸  安安

偶禿頭研究家

肥肥的1個朋友

不幸罹患了地中海型禿頭   O_o

他想問一下包莖男

周末都會休息不發文嗎

發現他們都平日發廢文

假日去爽了嗎

卦?

"
27,[問卦] 8+9和野狗的問題哪個可以先解決,Gossiping,"8+9  野狗  都導致社會問題  兩個都喜歡群聚  兩個都喜歡攻擊老弱婦孺   兩個都愛  然
後誰餵食他們  他們就對誰搖尾乞憐   這兩大台灣社會問題哪個可以先解決  還是禍害萬
年


"
28,[問卦] 澀谷是夜店區嗎？,Gossiping,"昨天有人在澀谷直播

日本當地時間已經半夜2點多

路上還有很多人

大多是年輕人跟外國人

那邊是夜店區嗎？

像信義區跟梨泰院那樣？
"
29,Re: [新聞] 卓榮泰：天災來時 地方要自己面對,Gossiping,"為什麼卓院長在知道年度預算變少的第一個想法
是從救命錢開始删？

不是要勞動部的部長少開幾場演唱會
也不是要原委會主委少出幾本寫真集
不是要監察院少看幾次黑熊
也不是要司法院少去幾趟法國
甚至把補助綠電蟑螂的錢砍了也不只3000億

院長直覺要删的就是救命錢
意思是就算預算變少，我執政黨政府吃香喝辣
的錢，一毛都不能減，就從該死的死老百姓身
上開始砍？

這就是我們的行政院長？

"
30,[問卦] 89會怕被網暴嗎,Gossiping,"平常看人不爽
路上就直接噴看三小
心情不好就直接用超派鐵拳
一拳砸下去讓你閉嘴
不過被肉搜之後就開始瘋狂鎖帳號
89這麼衝，會怕被網暴？
有沒有八卦？？？

"
31,[問卦] 台大生怎麼會追韓團?那麼沒有音樂品味嗎?,Gossiping,"台大生 怎麼會跟風追韓團啊? 這麼沒有音樂品味嗎?

KPOP都是 對嘴跳舞 女團搖屁股 賣騷 沒內涵 沒營養垃圾泡泡糖音樂 一直重複洗腦

YT觀看數據都是灌水 洗數據 買榜的


大學生 不都喜歡聽小眾獨立樂團 才顯得品味出眾嗎?

喜歡去大港開唱 金音獎 金曲樂團

超討厭流行音樂 討厭偶像的嗎?


台灣沒有明星偶像可以追嗎?  幹嘛要追韓星? 怎麼不去追滅火器? 沒台灣價值喔?

可憐那 台灣跨年請一堆韓團 好慘


有沒有八卦?

"
32,[問卦] 蹦闆開直播道歉了 大家接受嗎？,Gossiping,"https://www.youtube.com/live/gQSINLBq8JM?si=U2P2HX1ALzKiUxeZ
大意就是說
動手的人確實是蹦闆這邊的人
但蹦闆沒教唆是小弟自己搞出來的
他也對主辦跟統神道歉沒管好自己小弟
拳套重量是雙方談好且統神多收20萬才答應的
"
33,[問卦] 台北車站有甚麼好吃的?,Gossiping,"假期剩半天,待會要去台北車站地下街

看有沒有甚麼好吃的?身上剩下200元

樓上都超過200吃不起,台鐵便當也吃得滿膩的

所以想問看看地下街有沒有甚麼好吃的?

不要超過200元,感謝



"
34,[問卦]台大資工為什麼寫不出演算法來管理PTT,Gossiping,"台大資工
好歹也是全國前幾名的資訊科系
為什麼沒有能力寫一套演算法來管理PTT
非得要採用效率公正性落後的人治老辦法

再者
有PTT這個論壇
不就是自研演算法的最佳對象嗎？

改用演算法管理PTT會不會更好

"
35,Re: [問卦] 為什麼日本有辦法讓89變成過街老鼠？,Gossiping,"※ 引述《ComeThrough (☁)》之銘言：
: 日本的89 黑幫混混
: 只要身上有個刺青
: 不只是泡湯 去哪裡都會受到異樣眼光
: 而且金流和行動都會受到監控
: 實質上就是不受社會歡迎的族群
: 台灣人對祖國應該都很熟了
: 就不多做說明
: 反觀台灣的89可以這麼高調 無法無天
: 還成為年輕人嚮往的對象 社會主流風氣
: 為什麼日本可以做到 台灣卻不行
: 台灣484很廢 被89看沒有
: 有沒有卦
沒有，
純粹是台灣講人情而已，
不然台灣也有組織犯罪條例。

像昨晚有一群黑衣人打一個帥哥，
也是可以引用，
但台灣法官肯定不會這樣判，
因為這些人在心中都是可教化。

"
36,[新聞] 美軍大黃蜂戰機紅海遭友軍誤擊!2飛行員,Gossiping,"
1.媒體來源:
聯合

2.記者署名:
盧思綸

3.完整新聞標題:
美軍大黃蜂戰機紅海遭友軍誤擊！2飛行員彈射逃生成功 1人輕傷

4.完整新聞內文:

https://i.meee.com.tw/pktgQDu.jpg
美國海軍一架F/A-18大黃蜂戰鬥機22日在紅海上空遭護航艦誤擊。圖為大黃蜂戰鬥機7月初
在南海活動。美聯社

路透報導，美國軍方表示，一架海軍F/A-18大黃蜂戰鬥機22日在紅海上空遭護航艦誤擊，迫
使2名飛行員彈射逃生，兩人均生還，其中一人受到輕傷，目前正在調查「明顯誤傷事件」
。

聲明表示，這架F/A-18大黃蜂戰鬥機從航空母艦「杜魯門號」起飛，不料遭到其中一艘飛彈
護航艦「蓋茲堡號」（Gettysburg）「誤射並擊中」。

每日郵報報導，美軍中央司令部並未說明本次任務。

一年多來，紅海一直是軍事活動的溫床，美軍與伊朗支持的葉門反抗組織「青年運動」持續
對抗，青年運動民兵不斷攻擊地區內的航運活動。

美國軍方表示，美軍21日在紅海上空向青年運動無人機和飛彈開火，並襲擊青年運動在葉門
首都沙那的指揮控制和飛彈儲存地點。


5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://udn.com/news/story/123777/8441664


6.備註:



"
37,[問卦] 美國護理師平均276萬真的假的!,Gossiping,"大家說是不是真的!

google顯示怎麼高成這樣!!!


等於這邊一個台灣醫生!!!


台灣護理師就領零頭76萬


大家說怎麼差這麼多!



為什麼美國的薪資結構非常好!!!

大概是台灣四倍!

怎麼強成這樣!!!


難怪很多人要移民美國是不是!!!

移民美國是不是很爽!


可是英文要很好

就是全民英檢要中高級

是不是!


"
38,[新聞] 青鳥少8成! 還沒見底 作家分析:鳥疲人散,Gossiping,"青鳥少8成! 還沒見底 作家分析:鳥疲人散未來街頭更涼


中天  黃詩崴

https://ctinews.com/news/items/gOnLeAOKWk


立法院會20日審議《選罷法》、《憲訴法》與《財劃法》三大法案。青鳥團體發起「冬季
青鳥行動」號稱現場湧進1.6萬人，甚至一度要闖進立法院，不過這與今年5月號稱有10萬
青鳥上街頭的人數相比驟減超過8成。作家漂浪島嶼分析，綠營如果這樣不斷召喚青鳥，
最後可能「鳥疲人散」，未來街頭只會更「涼」。

作家漂浪島嶼表示，今年5月立法院審查國會改革法案，青鳥立院外集結，號稱湧出10萬
青鳥；不過到了12月反對《選罷法》、《憲訴法》與《財劃法》三大法案，再度走上街頭
，同樣是主辦單位宣布人數，只剩下1.6萬群眾。青鳥的銳減，是因為天氣較冷？法案較
不重要？或是藍白較不討厭？地方動員不力？口號已經乏味？到現場只聽講無趣？眾多原
因值得探究！

漂浪島嶼分析，或許綠營過去8年，中央執政、立院多數，全面統治的順風順水，現今面
對國會少數，已經不知如何折衝。在政治學上，國會少數的弱勢統治，統治者該有更謙虛
的身段，更協調的能力，過去陳水扁時代也歷經過，雖然最後不名譽下台，但是依舊能提
供國會少數執政的經驗，作為現狀的參考。

漂浪島嶼認為，總統、立院要到2028年改選，還有3年多的時間，中央綠營、立院藍白的
國會少數統治就是現實，還有年金修改、防衛法、每年預算等眾多議案，如果件件惡鬥。
綠營還要不斷召喚青鳥，最後可能鳥疲人散，政權輪替，街頭更涼！


"
39,[問卦] 肥宅跟外勞 哪族群星期六日過得充實,Gossiping,"星期六日是上班族難得可以不用上班的日子
那麼肥宅跟外勞這兩個族群
哪個星期六日過得比較充實


"
40,[問卦] 如果你是蹦闆你不怕輸？,Gossiping,"
欸欸

肥肥認真想一下

如果自己是蹦闆的話

肯定是全場最怕輸的那個 輸了真的完蛋了

什麼退出自媒體根本不重要

賺錢的方式這麼多 不拍影片哪有差

重點是這麼多地下賭盤壓自己贏

統神贏的賠率高到靠盃

真的不小心翻車的話可能會被人開的欸==

這時候誰他媽管你們要不要嘴我娘砲

我一定凹對面多8oz再加上整場龜縮打發==

拎涼不小心被搖到一下獎 我全家都沒了欸==

如果你是蹦闆 你不怕？

"
41,[問卦] 馬斯克會選總統嗎,Gossiping,"三普雖長期參與公眾事務

但主業還是商人

既然他可以當選美國總統

那他的好麻吉馬斯克

有可能由商入政

以後參選美總統嗎

"
42,[問卦] 拳王泰森拳套帶14盎司 那帶18盎司是？,Gossiping,"是這樣的啦

拳王泰森前陣子打一場拳賽引爆拳擊熱

拳王泰森配戴14盎司拳套

最近世界各地也開始瘋狂舉辦拳賽

現佇時

有一個只練了三個月的新手

比賽時卻戴18盎司拳套應戰

哇靠

整整比世界拳王泰森多了4盎司

這個戴18盎司的是何方神聖呀？

太神了吧？

"
43,Re: [問卦] 為什麼護理師薪水比小吃店員低（圖,Gossiping,"※ 引述《notimenofree (只有發廢文才有空)》之銘言：
: https://i.imgur.com/3vOLdiy.jpeg
: 如圖我肥城武
: 最近朋友們幫我找工作
: 看到一間小吃店月薪56000起
: 我靠那不是比大部分護理師薪水還高嗎
: WHY


因為都被醫生賺走了，一家醫院的成本結構是先扣掉醫生的薪資才向下分發給醫護人員，醫生月薪20～50萬不等（看科別跟職位），錢都跑到醫生這邊去了。

但社會大眾還是同情醫生比較多喔，因為醫生很愛哭窮情勒社會。

"
44,Re: [新聞] 4本土在野黨籲 總統啟動院際調解權,Gossiping,": 盼司院聲請暫時處分
: 聲明也呼籲民進黨立院黨團、司法院針對此次憲訴法修正內容向憲法法庭聲請暫時處分，
: 並提出釋憲，全面捍衛憲法法庭的正當性與功能性，確保憲政秩序的穩定與公正。
: 聯合聲明指出，國、眾兩黨利用國會席次優勢，無視立法院應聚焦於本會期的核心任務審
: 查國家財政與民生預算，反而以舉手表決強行通過三大惡法，嚴重癱瘓立法機能。這種背
: 離民主價值、漠視程序正義的行為，對台灣的民主憲政構成重大威脅，他們對此表示最嚴
: 厲的譴責。
其實還有人發現另一個更快的解套
https://reurl.cc/Y4EqMX
最高法院解字第一百四十六號解釋
""依該號解釋之意旨，原職掌行政訴訟之機關因故無法執行職務時，即便是同為負責審判之
普通司法機關亦無法越俎代庖；此時只有中華民國國民政府始能受訴。
包括此一解釋在內的最高法院的解釋從未如判例或行憲前司法院解釋在法院組織法、行憲
後司法院解釋及其他法律中被降格，因此仍是對各級法院有拘束力的解釋。
立法院甫三讀憲法訴訟法修正案，設該修正條文果獲施行，因大法官在職人數不到法定下
限，而使其無法執行職務。其情節與最高法院解字第一百四十六號解釋作成之前提如出一
轍。此際，僅有中華民國國民政府始能受訴，為此一解釋之當然結果。而中華民國國民政
府已因行憲而依訓政結束程序法第一條將職權交中華民國總統接收，故在目前使大法官在
職人數不足執行職務之該修正條文生效後，應由中華民國總統受理憲法訴訟""

換言之只能產生凱道有個賴青天的結局
可以的話應該一併向賴青天提出國民黨民眾黨違憲解散之訴

"
45,Re: [新聞] 藍白3惡法毀台！賴清德「要用更大民主來,Gossiping,"這樣最好

希望賴總統好好跟其他縣市說清楚

為什麼全台灣都對不起高雄



公投就公投嘛 在立院那邊亂是甚麼意思

40趴在那邊嗆公投

不然你占占開粗乃阿



輸了記得跟行政院長一起下台阿

不要跟尹錫悅一樣不要臉阿

柯柯


※ 引述《axxp (Matthew)》之銘言：
: 藍白3惡法毀台！賴清德「要用更大民主來解決」　溫朗東曝綠營還有三招
: 三立 記者盧素梅／台北報導
: https://bit.ly/3P8y8sx

"
46,Re: [問卦] 如果ptt有訂閱制，該有哪些服務?,Gossiping,": 假如ptt有訂閱制的話
: 可以推出哪些服務或是尊榮的權益呢?
: 有沒有八卦?

PTT Lite -免費 每天上線達2hr後自動斷線 一天全站最多發文5篇 推文100則
               隨時跳出滿版廣告

PTT -月費50元 正常功能使用

PTT Prmium -月費100元 無推文CD 突破看板發文限制

PTT Pro max Super Premium -月費1450元

自動屏蔽所有網軍 可指定一天5個PTT或Lite帳號不准上線 一天可指定摧毀一個Lite帳號
一天可對3個Lite帳號送出一則退文 自動網軍識別摧毀 一天寄送30封奶圖集錦到信箱


現在啥都搞忠誠會員制了

PTT應該也快了

"
47,[問卦] 明年歐印哪支股票比較好？,Gossiping,"我幫33處男問一下
他股票虧太多年了
新年快到了
歐印哪支最好呢？
有卦否？

"
