,標題,分類,內文
13,Re: [問卦] 跟朋友約人群中見面哪種JOJO立比較顯眼,39330,"這邊公開jojo立原則就是要站不穩好像要跌倒的樣子,因此
你要顯眼就是要越不穩越好像要跌倒即可

"
14,[問卦] 中天是專門培養戰地記者嗎？,39330,"
今年有中天經歷女記者都很嘴秋：

民眾黨的吳怡萱：「現在是怎樣？」

魏汶萱：男友是謝龍介姪子，帶油壓剪進議場被攔下，出來嗆聲。


想請問一下中天是專門培養戰地記者嗎？
都是衝組的。


"
15,[新聞] 中國人的「保命法則」熱傳 引發共鳴,39330,"1.媒體來源:
新唐人 2024年12月19日

2.記者署名:
羅婷婷

3.完整新聞標題:
中國人的「保命法則」熱傳 引發共鳴

4.完整新聞內文:
近日，中國社交平台熱傳一段「保命法則」視頻，引發網友共鳴：「說的非常對，我也是
這麼做的。」「一句話，不信中共的宣傳就行。」

中國人的「保命法則」

「不獻血、不捐款、不多管閒事、不貪便宜、不扶老人、不買股票、不圍觀、不吃外賣、
不信專家、不信廣告、不信教授、推薦什麼不買什麼、不貸款、不按揭」一名中國小
女孩在視頻中說出一些在大陸生活所需要遵守的「保命法則」，視頻在網絡熱傳。

有網友在評論區還添加了更多的「保命法則」，包括「不買房、不生娃、不還貸、不打疫
苗、不把錢存銀行、不看新聞」等等。

有網友表示：「說的非常對，我也是這麼做的。」也有網友哀嘆：「這是明智還是社會的
悲哀。」

中國「保命法則」視頻在海外X社交平台上也引發熱議，有網友表示：「我2017年就這麼
幹了，兩年後就開潤。」「趕緊出來，比啥都強。」

也有網友直言：「不信共產黨。」「一句話，不信中共的宣傳就行，並且要在適合的時機
予以反擊。」

http://i.ntdtv.com/assets/uploads/2024/11/id103933391-GettyImages-500743338.jpg
近日，中國社交平台熱傳一段「保命法則」視頻，引發網友共鳴。資料圖，遊客在從北京
景山公園觀看紫禁城的景色。（GREG BAKER/AFP via Getty Images)

中國民眾血的教訓

中共篡政75年以來，宣揚無神論，破壞中華傳統文化，導致整個中國社會世風敗壞、道德
下滑，人們生活在欺騙和謊言中，中共政府的公信力盡失。

網絡熱傳的這些「保命法則」，可以說是許多中國百姓親身經歷過而得出的經驗教訓。

不獻血——今年8月，河北廊坊一名男子因病入院需要輸血，他曾在政府號召下捐血8次，
但自己需要輸血時卻被官方告知，他的獻血證過期作廢了，不能為他調血。事件曝光後，
引發社會關注，廊坊衛健委迫於輿論壓力，改口稱「獻血證」有效。

不捐款——2011年6月，湖南年輕女子郭美美在網上公開炫富，住大別墅、開豪車、買名
牌包，並稱自己是中國紅十字會商業總經理，引起軒然大波。公眾質疑中國紅十字會所獲
的捐款流向。儘管紅會官員聲稱「郭美美與紅十字總會無關」，但紅十字會自此名聲掃地
，信任全盤崩塌，獲捐款項一落千丈。

不扶老人——2006年，南京男子彭宇好心攙扶倒在地上的老人，反被老人家屬控告，法院
判他賠錢。事件發生後，因扶老人而被訛的事件在中國各地頻繁發生，使得「敢不敢」扶
老人成了中國社會的一大難題。

不買房——中國的房價高到離譜，不少人一輩子也買不起一套房。或者有人買了房，卻揹
負巨額房貸，一旦失業，交不上房貸，房子就會被銀行收回，所有的心血付之東流。還有
許多家庭傾盡所有存款買房，等來的卻是爛尾樓，投訴無門。

不買股票——隨著中國經濟持續惡化，中國股市低迷，外資大量撤離。今年「十一」假期
前夕，中共官方出台刺激經濟政策，試圖拉動入市，許多年輕人在官媒鼓動下買股票，但
剛剛入市就被套牢，血本無歸。

現在，越來越多的中國民眾已看清，中共才是這一切社會問題的根源，中國人苦難生活的
製造者。截至目前，已經有超過4.4億中國民眾退出中共黨團隊組織，拋棄中共。還有許
多人逃離中國，來到海外開始新的生活。

而無力離開大陸的民眾，則通過網絡翻牆了解真實訊息，並互相提醒，不要再聽信中共的
謊言，以免上當受騙。

5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://www.ntdtv.com/b5/2024/12/19/a103939278.html

6.備註:


"
16,[問卦] 以前路上很少看到青鳥的八卦？,39330,"
青鳥是裕隆的國產神車

但是當年大家都買飛羚不買青鳥

所以以前青鳥能見度不高

是青鳥有什麼問題嗎？

很容易壞還是暴衝之類的嗎？

有沒有八卦？
https://i.imgur.com/ILdfbTI.jpeg
"
17,Re: [問卦] Threads:為什麼台灣網紅都不表態,39330,"這位脆友可能誤會了什麼

我們民進黨絕對是反對逼迫表態的

http://i.imgur.com/1CULlRl.jpg

http://i.imgur.com/XgZZrHb.jpg

【只有極權政府才會逼迫表態 民主社會是自由選擇】
　
只有不民主的極權政府，才會脅迫網紅進行表態。

因此，當你走在台灣街頭，可以自由選擇表不表態，請記得「＃民主自由」就是這一切選擇的後盾。
　
＃強摘的果實不甜
＃強娶的新娘不會愛你
　
http://i.imgur.com/JpnRCDk.jpg

#民進黨，我聽你在放屁#

※ 引述《wwl0909 ()》之銘言：
: https://i.imgur.com/4VQd0Tg.jpeg
: 為什麼 為什麼 為什麼
: 我追蹤的那些台灣大網紅
: 在台灣這種緊要時刻，都不願利用他們的人氣
: 去幫忙分享跟號召，我知道這是個人意願，不能強迫
: 可是！台灣不是你的國家嗎，你們那些創作者所拍的題材，在中國能播嗎？不就是因為在
: 這自由的土地，你們才能隨心所欲嗎？
: 真的很有道理
: 台灣都快被賣了結果一堆大網紅都不表態
: 目前有表態的只有八炯 志祺 囧星人這些人
: 其他九面 多米多羅 魚乾 阿神 博恩都不說話
: 這些人是不愛台灣嗎 台灣給你們自由創作的環境
: 為什麼你們可以默不作聲
: 眼睜睜看著親中勢力在島內亂搞呢
: "
18,[問卦] 沒有F1，可以引進美國的Nascar的八卦,39330,"https://youtube.com/shorts/q5P0iu-5RqY?si=HW33L2L4RJVcuNVU

賽車收視率#5. Formula-e；#4. WRC；#3. Nascar；#2. MotoGP；#1. F1

大家提到賽車就是F1，但是這麼久了還沒看到影子，那就可以考慮其他項目

WRC就很適合台灣，不但廖老大、以及很多人有在玩
而且訓練拉力賽能力對國防有幫助

其他四項都是歐洲的運動，很可能受到中國的影響
但是Nascar是美國的運動，在美中對抗下不會受到中國影響
更可能為了美中對抗移師海外，在台灣成立據點

Nascar不像F1使用特規專門賽車，而是中大型房車改裝
觀眾更有帶入感
對於台灣收購的NISSAN，也可以拯救低迷的中大型房車Teana的市場

WRC也是用市售車比賽，可以讓March復活，或是降低Juke的懸吊系統
對台灣收購NISSAN以後都有幫助

有沒有F1講了這麼多年，應該引進Nascar、WRC的八卦？

"
19,[問卦] 陳由豪確定要轉隊了各位鄉民您覺得呢,39330,"
各位鄉民傍晚好

陳由豪確定由中信兄弟轉向味全龍隊，合約10年合約價值1.3億，各位鄉民覺得如何呢？

"
20,Re: [爆卦] 苗博雅爆財劃法讓連江縣一年領98億,39330,"整天製造人民對立
不知道在幹嘛
騙人就算惹
就算真的98億
肥宅我也完全不覺得多鴨
你看核四3000多億丟水溝
可以養連江幾年
每年撥補台電要2000億
連江可以用幾年
連江有醫院有大學嗎
國人去過連江旅遊的
有幾趴
不是說愛台灣
戰爭第一線同胞
妳這樣對他們喔
閒他們拿太多
台灣海峽沒加蓋
青鳥可以搬過去住鴨
= =



※ 引述《canceryou (昭慧生氣了)》之銘言：
: 苗博雅在Youtube爆料：
: https://i.imgur.com/jYLASxL.jpeg
: 財劃法會讓連江縣一年領98億！
: https://i.imgur.com/KRXrBeo.jpeg
: https://i.imgur.com/Vu6S356.jpeg
: 此議題迅速在脆上引起熱議
: 連施醫師都痛批
: https://i.imgur.com/vqq6Eo9.jpeg
: https://i.imgur.com/9noQ35G.jpeg
: https://i.imgur.com/t9TWkQW.jpeg
: 網友：連江縣居民躺著每年可領75萬！！！
: 會不會太瓜張了？
: 實際情況：
: https://i.imgur.com/QAgyE2P.jpeg
: "
21,[問卦] 為什麼中北部覺醒青年不滾回南部？,39330,"
如題

整天臺北爛 新北爛 桃園爛 新竹爛 台中爛

滾回去你的暖暖市好嗎

高雄最讚啦

演唱會開不完

好棒唷

羨慕
"
22,[問卦] 女記者是不是惹到不該惹的人?,39330,"
剛剛看到新聞

三立重懲魏汶萱

調離採訪職務「召集人」職銜也遭拔除

只是嗆了立委就被重懲

還要在臉書公開道歉

是不是惹到不該惹的人?

或得罪不該得罪的顏色?


"
23,[問卦] 開車經過立法院沒有感覺是正常的嗎,39330,"
如題我肥城武

前天開車經過立法院

不知道為什麼已經沒有十年前的感覺

深深沉澱了兩天

想問大家只有我這樣嗎


"
24,Re: [新聞] 財劃法修正對高雄不公平 陳其邁：壓低分,39330,"我不知道他有什麼好靠北不公平的

1.這些錢原本就是地方民眾繳的稅，只是中央政府攪攪了，統籌分配給地方，那如今修法了
，多領的錢沒有別的縣市多，那就是該地區本來就繳的少

2.沒什麼好靠北營利事業總公司在台北，工廠在南部所以很可憐這種事了

https://i.imgur.com/F7qm8p9.jpeg
https://i.imgur.com/MylueN9.jpeg

分配實施辦法是行政院的行政命令

你有什麼不滿應該叫卓榮泰或賴清德改改

這個財政部內部自己就能調整了，跟立法院今天修法的地方沒有關係


"
25,Re: [問卦] 認真問 什麼人看到地方財源增加會跳腳？,39330,"※ 引述《fallmoon (山的另一邊)》之銘言：
: 怎麼講得好像地方增加的錢是憑空生出來的一樣,
: 不就是把原本中央政府的財政移轉到地方來而已?
: 然後八卦鄉民是怎樣,突然對台灣的地方政府的素質充滿信心,
: 難道忘了縣市基本上就是鄉民最恨的8+9地方派系在搞政治?

我也同意你說的，地方縣市應該就是這麼落後

但是我們的賴總統 之前的賴市長，可是支持財劃法的

難道就沒想到，你說的縣市的8+9的地方派系麻



相信賴市長當時有想過！

既然這樣 我就支持賴市長的財劃法



至於財劃法的分配細節

因為這次執政黨沒提出版本

只有 藍、白有提出，也就兩個版本可以選

席次多的藍色三讀通過

大家也就含淚接受吧




"
26,[問卦] 床墊貴的比較好？,39330,"
吶吶

老婆試躺了幾張床墊

1萬多 ～ 5萬多都有

但我感覺都差不多餒

老婆堅持要5萬多的床墊

怎麼辦 有什麼有力的根據可以說服

其實都差不多嗎？

有卦？
"
27,[問卦] 你今天吃湯圓了嗎？,39330,"欸！八卦板的各位阿伯們大家好！大家冬至快樂啦！

古早人都說冬至要吃湯圓啦，肥宅我下午小點心就也來應景一下，煮5顆抹茶湯圓，再加幾
顆芋圓，再套一碗紅豆湯，最後再通通給他摻在一起！成了一碗抹茶湯圓佐芋圓紅豆湯！
https://i.imgur.com/PZFPLvd.jpg

飲落去，精神十足，瞬間溫暖了起來！

八卦阿伯們，你們今天冬至吃湯圓了嗎？

呱？

"
28,Re: [爆卦] 苗博雅爆財劃法讓連江縣一年領98億,39330,"※ 引述《canceryou (昭慧生氣了)》之銘言：
: 苗博雅在Youtube爆料：
:
: 會不會太瓜張了？
: 實際情況：
: https://i.imgur.com/QAgyE2P.jpeg
: "
29,[問卦] 揪豆，比司吉幹嘛不自己幹掉甘舒三人組,39330,"嘿對

明明兩個雜魚就是一人一拳的事

單挑甘舒想不出要怎麼輸

還有，打躲避球時也不變身！看小傑差點被打死！

到底？！

"
30,[問卦] 階級複製的理論是偽科學嗎,39330,"八卦常說什麼階級複製

少子化都是不想讓下一代受苦 階級複製

有錢人小孩什麼都會

89 生 89

好像每個成功的人背後都是靠上一代複製

但如果這個理論是真的

每個人的上一代都可以回推到南非智人

南非智人每天爬樹吃腐肉

也沒有人上過大學

由此可證階級複製並不存在


"
31,[問卦] 北漂族在雙北靠自己買房的多嗎？,39330,"眾所皆知台灣有不少中南部往台北工作發展的北漂族，那想請問一下就是這些北漂族如果以
7-8年級生來說的話靠自己買房的多嗎？這些上來北漂族的人買房的比例高嗎？

"
32,[問卦] 台北為什麼可以建設的那麼好？？？,39330,"
來台北玩，
發現台北真的建設的很棒，
捷運四通八達，
完全不需要其他的交通工具，
西門町很熱鬧好逛，
東區也很熱鬧聖誕氣氛很濃厚，
木柵動物園、貓空纜車、北投泡湯、淡水老街、、、，
台北是不是還蠻好玩的啊？？？
有沒有八卦？
"
33,[問卦] 窮養富養的差別,39330,"摳尼基襪米納桑～～
我是31歲性單戀者Fatecool

現在阿肥肥在暖市吃下午茶
https://i.imgur.com/ChgTvgH.jpeg
看著唉配米妮點到了迪卡調查局的窮養富養
裡面每個人的標準不同
低到有沒有學貸
高到唸書直接在學去買房

請問有沒有怎麼判別富養窮養的八卦ㄋ(｡   ︿   ｡)

"
34,Re: [爆卦] 苗博雅爆財劃法讓連江縣一年領98億,39330,"這時候一堆綠營支持者又覺得9X億很多了

想當初鄭文燦第一次當選桃園市長，
硬把鐵路高架化停掉，硬要改地下化。
費用就從300多億暴漲到1000多億。
結果八年下台早就過當初最早說的2028完工，
快下台前又說要2030年才行。
到現在已經不知道要還要再拖多久....
因為 延期 缺工 原物料上漲 ~~經費一直持續更往上漲
早就提升超過一千億以上預算
前陣子新聞是說已經要1800多億2033 2034陸續完工

桃園版當初一堆硬吹的人都裝死沒回應了...
他剛上我就在桃園版表示反對，
表示工期根本不可能那麼快....經費也不可能這樣而已

現在還是一堆死忠的要說多花那一千多億值得(已經至少1500億了)

這時候一千多億又好像不多了~~~

更不用說市長期間一堆狗屁活動團體輔助隨便花
根本高雄2.0
好險桃園人不像暖市一樣




"
35,[新聞] 護膝太貴！全聯大火罹難水電工腿綁海綿 ,39330,"備註請放最後面 違者新聞文章刪除

1.媒體來源:

聯合報

2.記者署名:

趙容萱

3.完整新聞標題:

護膝太貴！全聯大火罹難水電工腿綁海綿 母心疼留言「媽媽付錢」惹鼻酸

4.完整新聞內文:

全聯台中大肚倉儲工地19日大火釀九死。被發現3樓夾層的罹難者徐姓水電工生前還在臉
書PO出施工處內部狹小照片「跪到膝蓋快爆了」，以及穿戴上自製海綿護膝照片，並留言
「護膝太貴，只好自己加工」，徐母還心疼留言「買一套你的尺碼，媽媽付錢」，事故發
生後，讓人看了鼻酸。

徐姓水電工上月28日在臉書上PO文表示「三天而已，蹲到腰痠背痛，跪到膝蓋快爆了」，
從照片顯示施工夾層內部狹小；本月9日，貼出穿戴上自製海綿護膝照片，並PO文「護膝
太貴，只好自己加工」，徐母還心疼在PO文下方留言「買一套你的尺碼，媽媽付錢」。

全聯大肚倉儲物流中心工地19日下午發生大火，30多名工人倉皇逃生，大火釀九死，其中
廖姓水電包工頭帶著兒子與另外3人、共5人小組一同在3樓夾層中施工，未料火勢迅速蔓
延，5人逃生不及全數罹難。

消防局說明，尋獲3人遺體的3樓夾層是一片長度97公尺、寬度58公尺的空間，面積很大，
5人遺體都是在東北角找到，有人被建材壓住、有人被煙灰蓋住，5人中3人呈現趴姿、另
外2人仰躺。從現場狀況來看，由於現場還在施作中，設備並不完全，再加上建材易燃，
火勢、濃煙很快竄升，不排除出現空間迷航影響逃生。

台中地檢署昨複訊後認為，事發前從事空調配管的作業人員，以氧乙炔切割樓地板作業時
，疑有未盡防火防護措施的注意義務，相關監督人員也未善盡督導責任，才導致火星引燃
穩熱板（PS板）釀禍。

檢方也發現，當天切割樓地板時，周圍卻沒有妥適使用防火毯、隔板等防火設施，才認定
包括施作工人、督導單位有過失。

https://uc.udn.com.tw/photo/2024/12/21/realtime/31131234.jpg
全聯倉儲大火罹難者徐姓水電工日前PO出穿戴自製海綿護膝的照片。圖／翻攝徐男臉書

https://uc.udn.com.tw/photo/2024/12/21/realtime/31131235.jpg
全聯倉儲大火罹難者徐姓水電工上月底PO出施工現場照片，並貼文「三天而已，蹲到腰痠
背痛，跪到膝蓋快爆了」。圖／翻攝徐男臉書

https://uc.udn.com.tw/photo/2024/12/21/realtime/31131236.jpg
全聯倉儲工地19日大火釀九死，昨消防局火調人員到場鑑定火災原因。記者趙容萱／攝影

5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:

https://udn.com/news/story/124306/8440488

6.備註:

"
36,Re: [問卦] 脆：法案通過不重要  不要公佈就好了,39330,"※ 引述《Alberta99170 (愛爾)》之銘言
: 剛剛在脆看到這招  說不公布就沒效力了
: 原來可以這樣？
: 阿可是我看八卦都說10天後會自動生效耶
: 到底哪邊才是對的  有沒有八卦


立法院完成三讀之條文，是否立即生效？或仍須經過何種程序始能生效？又須要多久時間才
能生效？
立法院法律案通過後，仍應移送總統及行政院，經總統公布後始能生效。

三讀通過之法律，條文內容經核校無誤後，依憲法規定，送總統及行政院，若行政院未提覆
議，總統應於收到後10日內公布。不過，法律經總統公布後並不是立即生效，依中央法規標
準法第13條規定，法規明定自公布或發布日施行者，自公布或發布之日起算至第3日起發生
效力。另同法第14條規定，法規特定有施行日期，或以命令特定施行日期者，自該特定日起
發生效力，法律一旦發生效力，全體國人就必須遵守。
立法院完成三讀之條文，是否立即生效？或仍須經過何種程序始能生效？又須要多久時間才
能生效？
立法院法律案通過後，仍應移送總統及行政院，經總統公布後始能生效。

https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=217&pid=37536

立法院官網就有的東西，不要亂看一些threads降低自己智商

反正公布法律是憲法規定的總統義務，他沒有不公布的選擇，除非總統本人違憲又是另一件
事了


"
37,[問卦] 各位喜歡開會一團和氣還是血流成河？,39330,"老闆開會的時候一團和氣
但都講他自己的
除了馬屁主管搶著拍手
其他人都無精打采腦袋放空
各位喜歡開會一團和氣還是各種叫罵血流成河？
"
38,[問卦] Aespa每人選一部位 怎麼選,39330,"https://www.youtube.com/watch?v=tBUgSyf6-5s

請服用Aespa新的現場表演 我選

Karina"
39,[問卦] 被懲處的女記者是正妹的話，怎麼演？,39330,"
各位30CM Ecup，胎嘎賀，打給賀。
我大木啦。

就是這個泣台女記者嗆南蠻番婆，造到泣台重懲的新聞啦。

要是今天被懲處的女記者是正妹，千年一遇的美少女，像這樣。

https://pbs.twimg.com/media/FRyg0V0VEAA70R-.jpg

後續會怎麼演？
"
40,"[問卦] 嘉義管樂節遊街開始了,怎麼酸民不關心???",39330,"



   酸民平常是都沒娛樂逆?

   有沒有嘉義管樂節這種嘉年華式遊街

   開始了, 但版上都沒報導

   還在青鳥不青鳥的八卦???

"
41,[問卦] 烏克蘭停火後下一代還會想光復失土嗎?,39330,"自川普當選以來，澤連斯基分別在英國天宮新聞、日本共同社及法國巴黎人報多次表示
因為烏克蘭沒有實力以軍事奪回失土，所以要改用外交手段收回失地
但考慮到用外交手段收回失地可能是個非常漫長的過程，加上若成功停火
派駐維和部隊的國家恐怕不願意烏克蘭主動發起反攻

若是這樣的話，隨著烏東長期脫離烏克蘭控制
下一代的烏克蘭人會不會逐漸失去收回烏東的興趣?
甚至打從心裡覺得不認為俄控區和自己不同國
而俄控區的人認同烏克蘭的人的親烏派也越來越少
最後即便在法律上仍有領土聲索，但實質上不再有人真心想反攻烏東?

"
42,[問卦] 女記者也被罰太重了吧，是有犯啥天條嗎?,39330,"奇怪
那個影片我看了
就只是一點語言衝突
有必要罰成這樣嗎
只差沒有直接開除了

我講句難聽的
政府單位那些嚴重霸凌的
極大多數都沒罰比這個重
但事情嚴重多了

是怎樣
有犯啥天條嗎

"
43,[問卦] 該如何警告小孩別唸文組？,39330,"朋友小孩最近到了選高中組別的時刻，說是討厭物理化學數學想選社會組，朋友對此非常擔心，好說歹說幾次但小孩都沒有動搖。

有什麼辦法可以警告小孩不要唸文組嗎？

我是建議把薪水完全攤給他看 讓他死心，有用嗎？

朋友雖然很有錢但不打算給他小孩錢，只資助到去美國唸完研究所。

"
44,Re: [新聞] 三立女記者護謝克洋不只被記過　採訪工,39330,"笑死，八卦版價值扭曲
記者只是、也只能是觀察者
該名記者直接介入，根本應該開除，居然只有兩小過而已，笑死
根本就是背景很硬，但是電視台不敢處理
八卦板肥宅的理解能力出了甚麼問題？


※ 引述《Beatrice322 (碧翠絲)》之銘言：
: 2024 / 12 / 21　星期六
: 上報 Up Media
: 三立女記者護謝克洋不只被記過　採訪工作及主管職銜將調整
: https://www.upmedia.mg/news_info.php?Type=24&SerialNo=219958
: 黨不喜歡這樣的三立記者

"
45,Re: [新聞] 愛滋感染者心理健康品質差 民團10年,39330,"這些人心理健康品質怎麼可能會差


一直約砲一直爽


玩的開開心心的


有的還會吸毒助興


生活過的很開心


過的挺爽的…


不用可憐這些人…


你以為在同情他們


晚上他們正在爽咧

"
46,[問卦] 真的假的財劃法補助會減少,39330,"http://i.imgur.com/36CP0rf.jpg

我不懂台灣國家預算怎麼編列的啦
但我以為正常預算
都是前年度先編列下年度
多花要申請追加
少花的話下下年度預算就變少了

所以中華民國預算
現在還沒審明年的預算嗎
突然修了法之後

這些預算就沒了
是這樣嗎

"
