,標題,分類,內文
10,[請益] 學習發展資深專員職缺如何準備,4004,"
年關將至應該不少人在物色年後職缺

恰巧遇到人生十字路口想轉職

偶然看到台達電子工業股份有限公司

有一份職缺

總部學習發展資深/主任專員_人資處(內湖)

看起來很不錯，能學到很多東西

不知道這領域要求什麼技能

怎樣才能獲得青睞？

"
11,[討論] 台達電在之前大概排畢業生志願第幾名？,4004,"
對台達電不熟

我那個年代只知道電源供應器

基本上只有電力組的會去投履歷

ICS 通信 CS組的幾乎不會去

認識的人也幾乎在聯詠瑞昱聯發科新思

或是DHL 谷歌水果嘎敏之類的

最差的在華碩

固態組都去台積也不會去台達電

連鴻海都沒有人去 更別提和碩仁寶英業達廣達之類的連投都沒投過

台達電算第幾志願啊？

"
12,Re: [討論] 清華大學副校長證實台達電跳樓員工優異,4004,"真的覺得台達HR不要把火燒到這位簡教授頭上

人家05～08年借調至GG擔任副處長

一手操盤GG的大數據製造

https://www.gvm.com.tw/article/28339

Lab素有「進去就半腳踏入GG」的熱門

是業界乃至學界大佬

又是現任副校長

台達把他的學生搞死又在那邊造謠

是嫌公司的學術人脈太多？


"
13,[討論] 號稱系統廠霸主的台達？！,4004,"如題

以前曾看過板上在討論系統廠霸主

當時名單大概有這幾間

鴻海、和碩、仁寶、廣達、緯創、英業達、台達、技嘉

台達好像一直是其中名列前茅的

如果連台達都是爛公司

想在系統廠打滾的人

到底還有哪間系統廠推薦去的

畢竟不是人人都可以進豬屎屋

大家都是出來混口飯吃的

認真求推薦...

"
14,[新聞] 俄羅斯自製晶片計畫受創 軍用半導體大廠,4004,"
作者: Su22 (裝配匠) 看板: Military
標題: [新聞] 俄羅斯自製晶片計畫受創 軍用半導體大廠
時間: Mon Dec 16 22:52:22 2024

原文來源：UDN
https://udn.com/news/story/6809/8429182

原文摘要：

俄羅斯自製晶片計畫受創 軍用半導體大廠破產

俄羅斯自製晶片計畫遭受打擊，當地業者Angstrom-T是全球最大的軍用晶片生產商之一，
在本月初破產。


法院裁定，Angstrom-T因無力償還990萬美元債務，宣告破產。


Angstrom-T的設立，是因俄國當局想開發具競爭力的晶片，用於國內並出口至歐洲各地。
該公司企圖成為俄國最大的軍用及民用晶片製造商。


這家公司經營者萊曼，曾任該國通訊部長、也是總統普亭的親信。該廠獲得10億美元的政
府資助，及8.15億歐元的銀行信用額度，但財務仍陷入困境，2022年又因涉及生產軍用導
航系統，遭美國等制裁，狀況更加艱難。


破產後，Angstrom-T由國營軍事公司Rostec代管，以維持最低限度的晶片產能，並試圖打
造能替代進口的產品。俄烏戰爭爆發前，莫斯科當局就已推動進口替代政策，但該國國防
業仍仰賴西方生產的機器和設備。


心得感想：

俄烏戰火激烈
應該會有很大的軍事晶片需求
但這家卻被990萬美元債務壓垮.......
俄國官方不繼續資助嗎?

注意事項：請注意版規內容。

"
15,[新聞] 為養家棄學！台達電員工卻遭霸凌身亡,4004,"為養家棄學！台達電員工卻遭霸凌身亡 清大副校長不捨

2024-12-21 06:06 聯合報／ 記者 巫鴻瑋／新竹即時報導

台達電一名25歲男員工16日從內湖總部墜樓身亡，傳生前遭主管職場霸凌，引發科技業熱
議該公司「糟蹋人才」，因身亡男員工為清華大學工業工程管理所高材生，原本被師長推
薦攻讀博士，卻為養家放棄學業，如今傳出噩耗，就連清大副校長簡禎富都發文表達不捨
，證實「他成績優異」。

簡禎富發文提到，該名畢業於清大的學生，曾在清華工工DALab參與暑期實習、產學合作
，更曾任決策分析課程助教，每項任務都表現優異，盡心負責合作分工，研究成果不僅解
決重要半導體智慧製造問題，成功導入產業創造具體價值，還曾在學術期刊上發表論文。


據了解，不幸遭霸凌身亡的台達電男員工，過去在清大期間曾獲師長推薦繼續攻讀博士學
位，但他為了減輕家中負擔、體貼父母，而選擇放棄學業、先工作養家，沒想到才到台達
電任職，就傳出遭職場霸凌身亡。

簡禎富不捨地提到該名學生「承受煎熬卻仍為同事們著想」，沒想到遭霸凌身亡後，竟然
師長還被通知該名學生「是在公司昏倒逝世」，簡更替該學生的父母親難過，或許父母親
也無心力應付社會和網路壓力。

台達電對於員工疑似遭霸凌身亡回應指出，秉持人道原則，公司已於第一時間積極協助家
屬處理善後。同時亦會同步宣導，以及進行公司同仁之員工關懷機制。

對於網路傳言，公司積極進行內部調查機制，也會全力配合檢警作業，但在檢調調查結果
前，目前不予評論。

不過台達電此回應網友並不買帳，痛批該公司公關處理及人資抹黑身亡的員工，還有網友
酸「台清交成資優生想被霸凌可以去」、「人才被當耗材」、「勞動部這副鳥樣，怪不得
資方根本沒在怕」、「上樑不正下樑歪」，也有不少網友感謝清大副校長「勇於發聲」，
有學者風骨。

https://i.imgur.com/pwGr7nk.jpeg

清華大學副校長簡禎富發文悼念不幸遭疑似霸凌身亡的清大畢業台達電員工。圖／翻攝自
臉書

★珍惜生命，若您或身邊的人有心理困擾，可撥打

安心專線：1925｜生命線協談專線：1995｜張老師專線：1980


https://udn.com/news/story/7320/8439947

"
16,[討論] 沒有板友當上霸凌主管的嗎？,4004,"
看系列文

每個都7 pupu

感同身受


我很好奇

大家都年薪500萬

四五十歲了

應該一半都已經是主管了吧


請問有人升級為霸凌主管的嗎

整天罵新來的年輕人越來越爛

什麼都不會 不肯學還態度差

聯合幾十年的同事開嗆新人


分享一下吧

看有沒有新的嗆法

"
17,Re: [討論] 清華大學副校長證實台達電跳樓員工優異,4004,"謝宜容的霸凌造就了一條生命的殞落

聽說她背景極大

新聞事件鬧得沸沸揚揚

再回頭過來看

台達的HR霸凌，新聞媒體現在三緘其口

台達這厲害了


"
18,[討論] 頂大碩很多去低薪科技業嗎？,4004,"台達的那個新聞

家境不好的頂大碩士

跑去比台積電低薪的科技業

老實說有點驚訝

頂大碩畢不都去年薪兩三百萬以上的科技業嗎？

為什麼會去系統廠呢？

更何況是家境清寒的

台清交成碩畢跑去非晶片產業的人有很多嗎？

難得念到那麼高的學歷

結果也是差不多低薪的人很多嗎？
"
19,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"奇怪
網頁版的回覆文章在哪邊啊？
有沒有人能教我？

https://i.imgur.com/0drI3A2.png

https://i.imgur.com/tk8PDgk.png

https://i.imgur.com/tecpgHk.png

https://i.imgur.com/W4lSr2n.png

"
20,Re: [討論] 台達電子又有員工掉下來了,4004,"小弟是生在一年兵的時代，
洪仲丘事件之後才入伍
當時軍中已經很人性了
平時跟8+9志願役一起打混消磨日子
某天有個新兵剛下部隊進來，ig很活躍的那種鮮肉
跟大家互動狀況與ig天差地遠，實際很自閉
某天晚上突然暴斃，人掛了
家屬與檢調搭直升機進來
正副連長輔導長被帶去調查
我們只覺得…很倒霉，還被懷疑霸凌

在這之前
有個超級好玩有趣的原住民副排長
很多玩笑可以開
可以跟新兵互打屁股罵三字經的那種，
對大家很罩，會釣魚回來煮給大家吃…
某天人不見
說被帶回台灣調查，因為被控性騷擾
指控者不是被害人，他是偷拍蒐證檢舉
影片的二兵被指認也說開玩笑而已，沒有要告
但指控者堅持覺得自己不舒服
無法融入這種環境，有壓力…
最後，是副排長被調走

以上…
我常反思，我們到底是不是受到被霸凌者霸凌？
有沒有人想過這世界是被他自己的脆弱毀掉的

"
21,[討論] 台達現在超越台積了嗎?,4004,"
想請問各位年薪500萬大神

台達護航推文說現在達達薪水贏過台積

這是真的嗎?

達達現在年薪有25個月，快超越台積36個月了也~

https://imgur.com/yCZgTwu


"
22,[請益] 被80跳之前.要求救公家.但勞動部也80上吊,4004,"原本以為一個國家成立勞工部是要""立意良善""，幫助全國有一半50%是勞工朋友（=1148／
2300萬人）.

在東方黃種猴工廠，經歷各世代被奴役（西班牙.荷蘭.明清,日本,外省，美帝...），血
汗輪班貢獻台灣經濟，世界人人稱羨”台灣最美的風景是人‘’ （勞工應該算是人吧？
在台灣有1148萬個，也是上位者心中最 “軟”的一部分？）的一個寶島之地，又見弱勢
勞工被80到跳樓，還沒見報的不知有多少...

為了預防還有萬一，於公於私好像也沒人可幫勞工，公家機關都會80人到上吊了，領導也
也是叫勞工自己去跟(慣)老闆說，或是當作 做功德。

似乎想不到管道了，想請鄉民集思廣益提供可行辦法，就勞工，救台灣啊。
"
23,[新聞] 歐盟邁向AI主權：投資15億歐元積極佈建七,4004,"歐盟邁向AI主權：投資15億歐元積極佈建七大AI工廠，打造歐洲AI生態系

原文網址:https://bit.ly/41IIEOM

原文:
歐盟正在積極佈局人工智慧(AI)產業，透過建立七大AI工廠，展現其打造全球競爭力的決
心。歐洲高效能運算聯合組織(EuroHPC)選定了七個提案，將在2025-2026年間部署首批AI
工廠，標誌著歐洲邁向AI技術主權的重要里程碑。

這項具有里程碑意義的計畫，將投入總計15億歐元的資金，其中一半由歐盟通過數位歐洲
計劃(Digital Europe Programme)和Horizon Europe計劃提供。這些AI工廠將集中在巴塞
隆納(Barcelona)、波隆納(Bologna)、卡亞尼(Kajaani)、盧森堡比森(Bissen)、林雪坪
(Linköping)、司徒加特(Stuttgart)和雅典(Athens)等歐洲科技研究中心，串連起歐洲
AI創新的重要據點。

選定的人工智慧工廠位於歐洲領先的研究和技術中心：
西班牙巴塞隆納：巴塞隆納超級運算中心的「BSC AIF」
義大利波隆納：波隆那科技園區CINECA資料中心的「IT4LIA」
芬蘭卡亞尼：CSC-IT科學中心的「LUMI AIF」
盧森堡比森：LuxProvide超級運算中心的「Meluxina-AI」
瑞典林雪坪：林雪坪大學的「MIMER」
德國司徒加特：司徒加特大學的「HammerHAI」
希臘雅典：國家研究和技術基礎設施(GRNET)的「Pharos」。

七大AI工廠的核心目標是整合AI成功的關鍵要素：運算能力、數據和人才。這些設施將為
新創公司、產業和研究機構提供大量運算資源，使其得以開發大規模歐洲語言模型和專門
垂直領域的AI解決方案。各工廠將聚焦於醫療生技、製造、氣候環境、金融、汽車系統、
網絡安全等戰略性領域。

芬蘭、德國、義大利、盧森堡和瑞典的五個地點將部署全新的AI優化超級電腦，西班牙則
將升級既有的MareNostrum 5系統。值得注意的是，西班牙和芬蘭的AI工廠還將包含實驗
平台，支持開發創新AI模型並促進歐洲跨國合作。這些設施預計將使EuroHPC的運算能力
翻倍，顯著提升歐洲在AI領域的競爭力。

這項倡議不僅是技術投資，更是一種生態系統建設。預期將在EuroHPC超級電腦周邊形成
AI生態系統，連結大學、學術界、超級運算中心、產業和金融參與者。透過整合卓越人才
和經濟機會，歐盟致力於培育AI創新的沃土。

葡萄牙、羅馬尼亞和土耳其將加入巴塞隆納的AI工廠；奧地利和斯洛維尼亞將參與義大利
工廠；捷克、丹麥、愛沙尼亞、挪威和波蘭則將加入芬蘭的LUMI AI工廠，展現了歐洲在
AI發展上的廣泛合作精神。

歐盟執行副主席Henna Virkkunen強調，這些AI工廠將使歐洲的AI新創企業能夠創新和擴
大規模。她認為歐洲已做好準備，透過正確的基礎設施，實現成為全球AI領先大陸的雄心
。

對於尚未加入的歐盟成員國，歐盟已開放至2025年2月1日前提交加入或建立新AI工廠的提
案，持續擴大這一戰略性計畫的參與度和影響力。這不僅是一項技術計劃，更體現了歐洲
在全球科技競爭中追求技術主權的戰略性佈局。

各AI工廠將專注於開發符合歐洲倫理價值的AI技術。巴塞隆納超級運算中心主任Mateo
Valero強調，這將使AI技術滲透到社會的各個領域，從醫療到文化，從公共服務到媒體，
都將受益於這一創新基礎設施。

歐盟此舉不僅是對AI技術的投資，更是對歐洲創新生態系統的戰略性建設。透過整合運算
資源、培育人才和鼓勵跨國合作，歐洲正在為未來的AI競爭奠定堅實的基礎，展現了在全
球科技競爭中的戰略性思維和前瞻性佈局。

這七大AI工廠代表了歐洲在AI領域的重大戰略性轉型。它們不僅是技術基礎設施，更是歐
洲追求技術主權、培育創新生態系統的重要里程碑。透過計畫投資與建置超級運算資源，
歐盟正在為其AI產業的未來奠定基礎，並在全球AI競爭中爭取技術主權的優勢戰略地位。

"
24,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"※ 引述 《redbeansyrup》 之銘言：
: 像面試的時候啊
: 十個主管有九個會跟你說
: 他們想找能長期待著的人
: 穩定性很重要
: 但是他們覺得你不重要了的時候
: 就開始各種嘴臉各種來了
: 你對他們要有commitment
: 他們對你卻不用有commitment
: 所以啊
: 還是要現實一點，多為自己想一點
: 道義放兩旁，利字擺中間
※ 引述 《redbeansyrup》 之銘言：
: 推 lynn        : 台資現在中資化了                                  12/20 09:41

阿肥外商碼農阿肥啦！

這邊之前也待過陸商一陣子，基本上在台陸商如果老闆真的是大陸人正派持續在台經營的真
的被layoff待遇是至少N+[1-4]（依進公司年資）的。

雖然說大陸那邊公司的人很愛PUA跟內卷文化，但給錢至少不會亂來，阿肥那個時候人資還
幫我多談+4再+2，而且資遣大陸主管雖然直接但也不會說得很難聽，後來我們還是加微信好
友。走資遣流程一樣預告期加上謀職假，因為阿肥那個時候已經找到新工作了，所以請好請
滿還出國散心。特休當初進來的規定就公司高於勞基法還可以延一年使用，後來休不完的也
全換錢給我。

所以不要再覺得陸商比台商還屎了，人家雖然內卷辛苦但是至少願意遵守法律承認勞工的尊
嚴。

唉～

希望逝者RIP


"
