,標題,分類,內文
10,[情報] GoShare 騎乘金,Lifeismoney,"gosharexmas2024
 
25元一張
 
到12/27
 
"
11,Re: [情報] 英亞IK Multimedia iLoud 監聽喇叭 ￡120,Lifeismoney,"※ 引述《waitsomeone (伊諾森提雅)》之銘言：
: IK Multimedia iLoud Micro Monitor Speaker
: 目前只有黑色，￡120.83
: 運費  ￡21.97
: 預收稅￡7.14
: 總費用￡149.94，約合台幣6227元
: https://www.amazon.co.uk/dp/B01C5RZWCQ
: 應該是最近最優惠的價格了
: 只是交期比較久，而且剩餘的數量可能不會很多


白色 ￡100
加碼攤平
^ ^
"
12,[情報] 大苑子板橋中山店柳丁綠第二杯10$,Lifeismoney,"https://i.imgur.com/abLntcX.jpeg

下班經過看到大苑子柳丁綠第二杯10元
門口DM寫是當店活動 到12/25
*只限店內購買

"
13,[情報] 綜合咖啡隨身包$15/包(即期),Lifeismoney,"效期至明年3月18日，禮盒裝共20包
https://www.rakuten.com.tw/shop/suntecafe/product/dl8ev4e1x/

$299免運，平均一包$15
截圖比價網，近2年來最低價
https://imgur.com/a/IgRz6K9

"
14,[情報] 全家Faminow外送免運,Lifeismoney,"https://i.imgur.com/3retnuX.jpeg
149低消，到12/24
https://i.imgur.com/3r4bh6u.jpeg
咖啡五六日有買二送二

"
15,[情報] Line禮物星巴克35元優惠券,Lifeismoney,"https://i.imgur.com/UdXdLfw.jpeg

趕快領取來去用看看了
"
16,Re: [情報] 65吋電視9999 扣p幣 LP 只8700 保固三年,Lifeismoney,"
分享一下買這台的經驗
就是賭錯了 買了看三天就出現斷線暗點 像下面照片 已經按退貨 買白牌就是要賭運氣

https://imgur.com/a/P4eOzko
上面照片想說放大一點比較明顯 
放上原始照片如下：
https://imgur.com/a/uhiZURn
退貨證明：
https://imgur.com/a/BcYmdJW
"
17,[情報] LINE WEBTOON 50枚代幣免費領 (三星會員),Lifeismoney,"
提醒一下  這是line的webtoon代幣
不是line代幣

另外我自己也試過用家人的領第二組
結果無法再套用一次到我帳號
只能存到家人帳號去

‐"
18,Fw: [食記]台中西區-來春茶飲-純茶買一送一到12/31,Lifeismoney,"※ [本文轉錄自 TaichungBun 看板 #1dNjNdeQ ]

雷雷雷雷　　　　　雷　　　　 　雷雷雷雷雷　  　雷雷雷雷雷雷雷雷雷　　
雷　 雷雷　雷雷雷雷雷雷雷雷雷　雷雷雷　　雷　　　　　　雷　　　　
雷雷雷雷　　　　雷　　　　   　雷雷雷雷雷雷　　雷雷雷雷雷雷雷雷雷
雷 　雷雷 　　雷　　　　　   　雷雷雷雷雷雷　　雷　　　雷　　　雷　
雷雷雷雷　　雷雷雷雷雷雷雷   　雷雷雷雷雷雷　　雷雷雷雷雷雷雷雷雷
雷　　　　雷　　　　　　雷   　雷雷雷雷雷雷　　雷　　　雷　　　雷　
雷　　　雷　　　　　　　雷  　　　　　　  　　 雷　　　雷　　雷雷
雷　　　　　　　　　　　雷   　　　　　　　　　　　　　　　　 雷
雷　　　　　　　　　　　雷
雷　　　　　　　　　　　雷   　雷雷雷雷雷雷雷　雷雷雷雷雷雷雷雷雷　　
雷　　　　　　　　　　　雷   　雷雷雷雷雷雷雷　雷　　　雷　　　雷　　
雷　　　　　　　 　 雷　雷   　雷雷雷雷雷雷雷　雷雷雷雷雷雷雷雷雷　　
雷　                雷雷雷   　雷雷雷雷雷雷雷　雷　　　雷　　　雷　　
雷　　　　　　　　　　雷雷   　雷雷雷雷雷雷雷　雷雷雷雷雷雷雷雷雷　　
　　　　　　　　　　　　　   　雷雷雷雷雷雷雷　　
原文是轉錄食記，當下沒法自刪文，設個防雷頁，有問到買一送一到12/31

　　　　　　　　　　　　　     　　
[食記]
店名：來春茶飲 台中美村店

地址：台中市西區美村路一段134號(原鶴茶樓勤美公益店)

電話：04-23267988

營業時間：11:00-22:00

價位範圍(每人)：25-80

停車：機車容易　　汽車極難

刷卡：不支援信用卡付款

詳細菜單：https://reurl.cc/46ol22

圖文廢話：https://reurl.cc/M682Yk

======================================

掛著試營運買一送一的來春茶飲，12/10開始營業

google map目前還搜尋不到美村店的資料

相關資訊透過臉書查詢，試營運的消息12/13有公布

買一送一的活動不是全品項，純茶限定，兩杯可以不一樣

在Uber eats上有搜尋到飲料的介紹 https://reurl.cc/EgomDA

飲料跟市面上比較，算是很便宜的

蜂蜜類的調和飲45元起；最貴也才65元

真蜂蜜的成本偏貴，45元解渴而已，不會奢望使用真蜂蜜

拿鐵類50元起，最貴的布丁鮮奶茶是70元

寒流將近，也有季節限定的薑汁與桂圓類飲品

最低只要40元；最貴也才55元

今年的老薑很貴，每公斤隨便都破百

用科技與狠活是很合理的，純粹老薑.桂圓去熬煮，絕對是賠錢的買賣

香檳烏龍-記憶點是開喜烏龍茶的感覺

梔子春茶-就一般的青茶沒特別記憶點

桂荷紅玉-完全喝不出紅玉的香氣，感覺就普通的紅茶

烏龍拿鐵-不確定加了什麼添加物的鮮奶茶，有明顯的油膩感
買一送一是划算的，嘴饞解渴是可以考慮，買熱飲來暖手暖身也還行

"
19,[新聞] 明（23）日起汽、柴油價格各調漲0.1元,Lifeismoney,"https://www.cpc.com.tw/News_Content.aspx?n=28&sms=8920&s=96119

平穩雙機制及調降貨物稅 汽、柴油各吸收3.4元及2.8元
明（23）日起汽、柴油價格各調漲0.1元

刊登日期：113-12-22

    台灣中油公司自明（23）日凌晨零時起汽、柴油價格各調漲0.1元，參考零售價格分
別為92無鉛汽油每公升28.6元、95無鉛汽油每公升30.1元、98無鉛汽油每公升32.1元、超
級柴油每公升27.3元。本週因平穩雙機制啟動，汽、柴油各吸收1.2元。

    台灣中油表示，本週受美國聯準會宣布降息及美國商用原油庫存持續減少影響，導致
國際油價上漲。浮動油價調整原則調價指標7D3B週均價上漲0.56美元，新臺幣兌美元匯率
貶值0.085元，漲幅為0.82%。按浮動油價機制調整原則，汽、柴油應調價格與本週參考零
售價格相比，汽、柴油應各調漲1.3元，惟為維持價格低於亞洲鄰近國家(日、韓、港、星
)，汽、柴油各吸收1.2元，吸收後95無鉛汽油超出30元，啟動油價平穩措施，第一階段吸
收25%調幅四捨五入，汽、柴油每公升各吸收0元。平穩雙機制啟動，汽、柴油各共吸收
1.2元，國內汽、柴油價格實際每公升各調漲0.1元。吸收金額如下表：

吸收金額／每公升  政府調降貨物稅  維持亞鄰國家最低價  平穩措施  合計

汽油              2.2             1.2                 0         3.4

柴油              1.6             1.2                 0         2.8

    本週依油價公式及政府調降貨物稅(汽、柴油每公升各共2元及1.5元)調整國內油價，
並持續以亞鄰國家最低價及平穩措施運作，協助穩定國內油價，汽、柴油各應調整1.2元
均由台灣中油吸收，113年累計至11月底止，台灣中油共吸收約246.44億元。調價後各式
油品參考零售價格調幅及調整金額如附表，實際零售價格以各營業點公告為準。(亞鄰油
價資訊請參考全球資訊網https://www.cpc.com.tw產品與服務"
20,[情報] Hami Video 影劇館 7天序號,Lifeismoney,"序號：wowhami113Q4

輸入序號可兌換影劇館7天

https://i.imgur.com/jvqMkLw.jpeg

備註：
＊影劇館+
可收視電影(不含單次付費)、戲劇、動漫、兒童與綜合等VOD影片

"
21,[情報] XBOX歲末購物節 手把主機特價至12/25,Lifeismoney,"上個月家裡剛購入XBOX黑機
這個月想說要添購新手把 在電商平台上看到有蠻便宜的折扣
尤其菁英手把是上一檔沒有的 算起來便宜滿多

https://reurl.cc/mRrdNM

Xbox Elite Series 2 菁英無線控制器 輕裝版 折扣價 3,499 元
Xbox 無線控制器 1,390 元起
Xbox Series S 512GB (限時優惠價$7,980 元)
Xbox Series X 1TB (限時優惠價$15,980 元)


https://i.imgur.com/y9YC90A.jpg

https://i.imgur.com/dsYtxvD.jpg

https://i.imgur.com/MZKsULK.jpg

蠻划算的 想購入新設備的趁這波入手

"
22,Re: [情報] AVITA筆電紫(i5-1235U/8GB/512G/W11)9899,Lifeismoney,"這台今天又特價了

https://i.imgur.com/4svSEQT.png

今天價格來到史低的9899

https://i.imgur.com/jTvDkjH.png

登記可以拿1200p

有星展卡或是全盈支付可以再多折一咪咪

至於評價就這樣  不是大好就是大壞

但便宜治百病了


※ 引述《Gambler1201 (職業賭徒)》之銘言：
: AVITA15.6吋i5筆電紫色(i5-1235U/8GB/512GB/W11)
: 現在pchome又特價這台12代i5
: https://24h.pchome.com.tw/prod/DHAM8I-A900HV4I2
: 一樣殺到9999
: 跟以往不同的是,這次是紫色,我個人也覺得好看的多
: 而且另外有送USB hub 應該也值幾小幾百
: 和一隻糞鼠
: 不過10/31可以登記拿1000P (有150名額)
: LINE導購目前有1% 99
: 再算個信用卡4% 400
: 大概8500左右
: 還滿香的

"
23,[情報] 好市多鐵鎚貓砂特價 $420元,Lifeismoney,"https://i.imgur.com/MlmiREY.jpg

https://i.imgur.com/NGgx5Hl.jpg

禮拜二去買的
趁大家還沒發現優惠 多扛了幾箱回家
分享出來 不知道會不會變成限每卡一箱

"
